status,issue,best
Satisfactory,validation-506,0
Satisfactory,validation-410,0
Satisfactory,findings-127,0
Satisfactory,validation-244,0
Satisfactory,validation-217,0
Satisfactory,findings-112,0
Satisfactory,findings-154,0
Satisfactory,findings-69,0
Satisfactory,validation-338,0
Satisfactory,validation-376,0
Satisfactory,validation-386,0
Satisfactory,validation-577,0
Satisfactory,validation-638,0
Satisfactory,validation-650,0
Satisfactory,validation-660,0
Satisfactory,validation-698,0
Unsatisfactory,findings-122,0
Unsatisfactory,findings-132,1
Unsatisfactory,findings-135,0
Unsatisfactory,findings-157,0
Unsatisfactory,findings-48,0
Unsatisfactory,findings-89,0
Unsatisfactory,findings-9,0
Unsatisfactory,findings-93,0
Unsatisfactory,validation-112,0
Unsatisfactory,validation-115,0
Unsatisfactory,validation-117,0
Unsatisfactory,validation-118,0
Unsatisfactory,validation-149,0
Unsatisfactory,validation-156,0
Unsatisfactory,validation-157,0
Unsatisfactory,validation-158,0
Unsatisfactory,validation-185,0
Unsatisfactory,validation-206,0
Unsatisfactory,validation-21,0
Unsatisfactory,validation-224,0
Unsatisfactory,validation-225,0
Unsatisfactory,validation-28,0
Unsatisfactory,validation-285,0
Unsatisfactory,validation-286,0
Unsatisfactory,validation-29,0
Unsatisfactory,validation-301,0
Unsatisfactory,validation-32,0
Unsatisfactory,validation-33,3
Unsatisfactory,validation-36,0
Unsatisfactory,validation-415,0
Unsatisfactory,validation-418,0
Unsatisfactory,validation-420,0
Unsatisfactory,validation-447,0
Unsatisfactory,validation-478,0
Unsatisfactory,validation-479,0
Unsatisfactory,validation-48,0
Unsatisfactory,validation-507,0
Unsatisfactory,validation-518,0
Unsatisfactory,validation-524,0
Unsatisfactory,validation-537,0
Unsatisfactory,validation-560,0
Unsatisfactory,validation-589,0
Unsatisfactory,validation-591,0
Unsatisfactory,validation-63,0
Unsatisfactory,validation-637,0
Unsatisfactory,validation-640,0
Unsatisfactory,validation-661,0
Unsatisfactory,validation-67,0
Unsatisfactory,validation-681,0
Unsatisfactory,validation-687,0
Unsatisfactory,validation-69,0
Unsatisfactory,validation-707,0
Unsatisfactory,validation-71,0
Unsatisfactory,validation-723,0
Unsatisfactory,validation-724,0
Unsatisfactory,validation-731,0
Unsatisfactory,validation-78,0
Unsatisfactory,validation-83,0
Unsatisfactory,validation-99,0